[time_index],[x],[y]
0.0,0.0,0.0
1.0,0.707106781187,0.658106781187
2.0,1.4142135381698608,1.217742681503296
3.0,2.1213202476501465,1.679765224456787
4.0,2.8284270763397217,2.043785572052002
5.0,3.535533905029297,2.3098032474517822
6.0,4.242640495300293,2.477818727493286
7.0,4.949747562408447,2.5478315353393555
8.0,5.656854152679443,2.5198426246643066
9.0,6.363961219787598,2.393850803375244
10.0,7.071067810058594,2.169856548309326
11.0,7.77817440032959,1.8478600978851318
12.0,8.485280990600586,1.427861213684082
13.0,9.192388534545898,0.9098600745201111
14.0,9.899495124816895,0.29385608434677124
